"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","im still mad he got a ring before melo and chris paul lmaooo",FALSE,0,NA,2017-12-11 23:59:30,FALSE,NA,"940370491201728512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YourTears1230",22,TRUE,FALSE,NA,NA
"2","Rockets arewith Chris Paul in the lineup this year CP hasand to compliment the Beards",FALSE,0,NA,2017-12-11 23:58:27,FALSE,NA,"940370225123360770",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WestCovKid",120,TRUE,FALSE,NA,NA
"3","Rockets arewith Chris Paul in the lineup this year CP hasand to compliment the Beards",FALSE,0,NA,2017-12-11 23:58:17,FALSE,NA,"940370183180472320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Im__Nuk",120,TRUE,FALSE,NA,NA
"4","Chris Pauls game winning jump shot against the Spurs in the playoffs

 I hate sand",FALSE,0,NA,2017-12-11 23:55:20,FALSE,NA,"940369441644273665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ClipperholicsFS",2,TRUE,FALSE,NA,NA
"5","Time to celebrate myfollowers Thanks to all of you for making it happen Win this Official Limited Edition Prin",FALSE,0,NA,2017-12-11 23:53:33,FALSE,NA,"940368992891559936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spencer21_chris",339,TRUE,FALSE,NA,NA
"6","other failedfoiled bomb plotters arrested in lastmonths 

 Jerry Varnell antigov extremist wanted to emulate",FALSE,0,NA,2017-12-11 23:52:51,FALSE,NA,"940368814025379843",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chris_lewis_",4707,TRUE,FALSE,NA,NA
"7","New Orleans coach Alvin Gentry when asked about defending Chris Paul and James Harden Im open to suggestions Rockets",FALSE,0,NA,2017-12-11 23:52:20,FALSE,NA,"940368684882817024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Washed81",19,TRUE,FALSE,NA,NA
"8","team with michael james chris paul Paul george Mario and frank jones",FALSE,0,NA,2017-12-11 23:50:17,FALSE,NA,"940368167926423552",NA,"<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","fantasybballbot",0,FALSE,FALSE,NA,NA
"9","Pelicans coach Alvin Gentry is open for suggestions on how to guard Chris Paul and James Harden Rockets Pelicans",FALSE,0,NA,2017-12-11 23:49:22,FALSE,NA,"940367939781480449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RocketIntellect",9,TRUE,FALSE,NA,NA
"10","Pelicans coach Alvin Gentry is open for suggestions on how to guard Chris Paul and James Harden Rockets Pelicans",FALSE,0,NA,2017-12-11 23:48:42,FALSE,NA,"940367773120770048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","doloresalozano",9,TRUE,FALSE,NA,NA
"11","My guess is the injury isnt serious and hell play but the presence of Chris Paul means the Rockets can play if safe w",FALSE,0,NA,2017-12-11 23:47:51,FALSE,NA,"940367556417933312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IsmailAbdihakim",2,TRUE,FALSE,NA,NA
"12","Pelicans coach Alvin Gentry is open for suggestions on how to guard Chris Paul and James Harden Rockets Pelicans",FALSE,0,NA,2017-12-11 23:47:39,FALSE,NA,"940367507394891776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Groovy__FLACKO",9,TRUE,FALSE,NA,NA
"13","Hello Chris if you are interested in the official licensed Hemingway Pilar boat please let me know y",FALSE,0,"MrMurder37",2017-12-11 23:47:30,TRUE,NA,"940367468266012672","23866855","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OMHINC",0,FALSE,FALSE,NA,NA
"14","James Harden and Chris Paul Are Staggering So Are The Rockets",FALSE,0,NA,2017-12-11 23:46:45,FALSE,NA,"940367282185953283",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BigShotsNation",0,FALSE,FALSE,NA,NA
"15","New Orleans coach Alvin Gentry when asked about defending Chris Paul and James Harden Im open to suggestions Rockets",FALSE,0,NA,2017-12-11 23:44:38,FALSE,NA,"940366749664534531",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Leestewart281",19,TRUE,FALSE,NA,NA
"16","Pelicans coach Alvin Gentry is open for suggestions on how to guard Chris Paul and James Harden Rockets Pelicans",FALSE,0,NA,2017-12-11 23:43:43,FALSE,NA,"940366518478671878",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KristenDeion",9,TRUE,FALSE,NA,NA
"17","Pelicans coach Alvin Gentry is open for suggestions on how to guard Chris Paul and James Harden Rockets",FALSE,13,NA,2017-12-11 23:42:55,TRUE,NA,"940366316107649025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheProducerNick",9,FALSE,FALSE,NA,NA
"18","inb jake paul shows off your address on his channel",FALSE,1,"CannibalActual",2017-12-11 23:39:38,FALSE,"940328382478237697","940365491306156032","2726516282","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Chris_the_Blue",0,FALSE,FALSE,NA,NA
"19","If the NBA blocked he Chris Paul Lakers trade the MLB should block the Stanton trade",FALSE,1,NA,2017-12-11 23:39:08,FALSE,NA,"940365363556036608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chaZZ__Love",0,FALSE,FALSE,NA,NA
"20","people will choose a side but really both deserve it",FALSE,1,"NBATV",2017-12-11 23:38:50,TRUE,"940365002376019968","940365290004799488","25319414","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Cowrex",1,FALSE,FALSE,NA,NA
"21","It means that the Houston Rockets will",FALSE,2,"hudasyed__",2017-12-11 23:38:00,TRUE,"940341451266895872","940365080050458625","385218248","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JesusRocket1",1,FALSE,FALSE,NA,NA
"22","Like a injured Chris Paul you aint got no point ",FALSE,0,NA,2017-12-11 23:37:07,FALSE,NA,"940364855860711424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Fentythought",12,TRUE,FALSE,NA,NA
"23","New Orleans coach Alvin Gentry when asked about defending Chris Paul and James Harden Im open to suggestions Rockets",FALSE,34,NA,2017-12-11 23:36:46,FALSE,NA,"940364769667764225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BenDuBose",19,FALSE,FALSE,NA,NA
"24","Like a injured Chris Paul you aint got no point ",FALSE,0,NA,2017-12-11 23:36:41,FALSE,NA,"940364746284503041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itanya_2902",12,TRUE,FALSE,NA,NA
"25","Chris Pauls game winning jump shot against the Spurs in the playoffs

 I hate sand",FALSE,3,NA,2017-12-11 23:36:11,FALSE,NA,"940364619616419841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheMatthewRoyer",2,FALSE,FALSE,NA,NA
"26","Like a injured Chris Paul you aint got no point ",FALSE,33,NA,2017-12-11 23:34:18,FALSE,NA,"940364145618284545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NilssonEmmelie",12,FALSE,FALSE,NA,NA
"27","Eh we could make a deal with Ryan Anderson for his salary to be cut I wouldnt want to trade him",FALSE,0,"AndresG45690142",2017-12-11 23:33:49,TRUE,"940361753715757057","940364027590512642","873002033682534401","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JesusRocket1",0,FALSE,FALSE,NA,NA
"28","I liked avideoPaul RobinsonTiffany Hensley A Weekend In New England",FALSE,0,NA,2017-12-11 23:31:52,FALSE,NA,"940363536999608320",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Sidemount_Chris",0,FALSE,FALSE,NA,NA
